time_utc,gate_opening,gate_opening_approval,headwater,headwater_approval,tailwater,tailwater_approval,discharge,discharge_approval
2022-01-01T00:00:00+00:00,0.00,Approved,9.80,Approved,6.30,Approved,0.00,Approved
2022-01-01T00:15:00+00:00,0.00,Approved,9.76,Approved,6.31,Approved,0.00,Approved
2022-01-01T00:30:00+00:00,0.00,Approved,9.78,Approved,6.31,Approved,0.00,Approved
2022-01-01T00:45:00+00:00,0.00,Approved,9.78,Approved,6.32,Approved,0.00,Approved
2022-01-01T01:00:00+00:00,0.00,Approved,9.77,Approved,6.32,Approved,0.00,Approved
2022-01-01T01:15:00+00:00,0.00,Approved,9.78,Approved,6.32,Approved,0.00,Approved
2022-01-01T01:30:00+00:00,0.00,Approved,9.77,Approved,6.41,Approved,0.00,Approved
2022-01-01T01:45:00+00:00,0.00,Approved,9.75,Approved,6.41,Approved,0.00,Approved
2022-01-01T02:00:00+00:00,0.00,Approved,9.74,Approved,6.38,Approved,0.00,Approved
2022-01-01T02:15:00+00:00,0.00,Approved,9.75,Approved,6.39,Approved,0.00,Approved
2022-01-01T02:30:00+00:00,0.00,Approved,9.73,Approved,6.38,Approved,0.00,Approved
2022-01-01T02:45:00+00:00,0.00,Approved,9.74,Approved,6.39,Approved,0.00,Approved
2022-01-01T03:00:00+00:00,0.00,Approved,9.72,Approved,6.40,Approved,0.00,Approved
2022-01-01T03:15:00+00:00,0.00,Approved,9.72,Approved,6.44,Approved,0.00,Approved
2022-01-01T03:30:00+00:00,0.00,Approved,9.72,Approved,6.48,Approved,0.00,Approved
2022-01-01T03:45:00+00:00,0.00,Approved,9.73,Approved,6.48,Approved,0.00,Approved
2022-01-01T04:00:00+00:00,0.00,Approved,9.73,Approved,6.47,Approved,0.00,Approved
2022-01-01T04:15:00+00:00,0.00,Approved,9.72,Approved,6.45,Approved,0.00,Approved
2022-01-01T04:30:00+00:00,0.00,Approved,9.72,Approved,6.46,Approved,0.00,Approved
2022-01-01T04:45:00+00:00,0.00,Approved,9.71,Approved,6.47,Approved,0.00,Approved
2022-01-01T05:00:00+00:00,0.00,Approved,9.71,Approved,6.49,Approved,0.00,Approved
2022-01-01T05:15:00+00:00,0.00,Approved,9.70,Approved,6.55,Approved,0.00,Approved
2022-01-01T05:30:00+00:00,0.00,Approved,9.70,Approved,6.56,Approved,0.00,Approved
2022-01-01T05:45:00+00:00,0.00,Approved,9.69,Approved,6.55,Approved,0.00,Approved
2022-01-01T06:00:00+00:00,0.00,Approved,9.70,Approved,6.54,Approved,0.00,Approved
2022-01-01T06:15:00+00:00,0.00,Approved,9.69,Approved,6.53,Approved,0.00,Approved
2022-01-01T06:30:00+00:00,0.00,Approved,9.69,Approved,6.54,Approved,0.00,Approved
2022-01-01T06:45:00+00:00,0.00,Approved,9.69,Approved,6.57,Approved,0.00,Approved
