period,binned_by,bin,n,x_lo,x_hi,x_median,kappa_median,kappa_q25,kappa_q75
pooled,a/dh (relative opening),1,26632,0.002096,0.208108,0.125691,5.667420,5.646681,5.864999
pooled,a/dh (relative opening),2,26632,0.208122,0.351744,0.286842,5.854223,5.648674,5.865854
pooled,a/dh (relative opening),3,26632,0.351744,0.472131,0.415385,5.858697,5.648439,5.866456
pooled,a/dh (relative opening),4,26632,0.472131,0.588816,0.527027,5.858391,5.647833,5.865459
pooled,a/dh (relative opening),5,26632,0.588816,0.732394,0.661844,5.859766,5.647927,5.865712
pooled,a/dh (relative opening),6,26632,0.732394,0.879599,0.803390,5.861161,5.648553,5.866005
pooled,a/dh (relative opening),7,26632,0.879668,1.052402,0.961240,5.860451,5.647737,5.865454
pooled,a/dh (relative opening),8,26632,1.052419,1.297521,1.166667,5.860635,5.647732,5.865492
pooled,a/dh (relative opening),9,26632,1.297561,1.682028,1.454955,5.651007,5.647186,5.864795
pooled,a/dh (relative opening),10,26634,1.682028,6.110000,2.051546,5.649449,5.646742,5.863772
pooled,"dh (head difference, m)",1,26632,0.274320,0.624840,0.573024,5.649579,5.646678,5.863731
pooled,"dh (head difference, m)",2,26632,0.624840,0.691896,0.661416,5.651539,5.647397,5.864969
pooled,"dh (head difference, m)",3,26632,0.691896,0.746760,0.719328,5.858766,5.647641,5.865516
pooled,"dh (head difference, m)",4,26632,0.746760,0.798576,0.774192,5.860435,5.647939,5.865664
pooled,"dh (head difference, m)",5,26632,0.798576,0.847344,0.822960,5.860203,5.648284,5.865910
pooled,"dh (head difference, m)",6,26632,0.847344,0.896112,0.871728,5.858162,5.647922,5.865535
pooled,"dh (head difference, m)",7,26632,0.896112,0.947928,0.920496,5.858340,5.648222,5.865648
pooled,"dh (head difference, m)",8,26632,0.947928,1.008888,0.978408,5.857743,5.647919,5.865763
pooled,"dh (head difference, m)",9,26632,1.008888,1.094232,1.048512,5.849342,5.647646,5.865871
pooled,"dh (head difference, m)",10,26634,1.094232,1.682496,1.164336,5.671230,5.647232,5.865000
before,a/dh (relative opening),1,12873,0.002096,0.199396,0.117096,5.647106,5.640622,5.652718
before,a/dh (relative opening),2,12873,0.199396,0.357143,0.282609,5.647272,5.641918,5.652702
before,a/dh (relative opening),3,12873,0.357143,0.490196,0.428135,5.647253,5.643226,5.651189
before,a/dh (relative opening),4,12873,0.490196,0.615635,0.549296,5.647346,5.643831,5.650767
before,a/dh (relative opening),5,12873,0.615646,0.771987,0.691781,5.647476,5.644419,5.650423
before,a/dh (relative opening),6,12873,0.771987,0.943396,0.858896,5.647370,5.645174,5.650324
before,a/dh (relative opening),7,12873,0.943396,1.149378,1.034884,5.647382,5.645065,5.649739
before,a/dh (relative opening),8,12873,1.149378,1.422535,1.282051,5.647526,5.645307,5.649669
before,a/dh (relative opening),9,12873,1.422535,1.843575,1.607527,5.647482,5.645581,5.649451
before,a/dh (relative opening),10,12877,1.843575,6.110000,2.259459,5.647511,5.645737,5.649127
before,"dh (head difference, m)",1,12873,0.274320,0.600456,0.545592,5.647487,5.645691,5.649184
before,"dh (head difference, m)",2,12873,0.600456,0.670560,0.640080,5.647455,5.645389,5.649461
before,"dh (head difference, m)",3,12873,0.670560,0.728472,0.701040,5.647465,5.645254,5.649693
before,"dh (head difference, m)",4,12873,0.728472,0.783336,0.755904,5.647471,5.645065,5.649886
before,"dh (head difference, m)",5,12873,0.783336,0.835152,0.810768,5.647352,5.644728,5.650138
before,"dh (head difference, m)",6,12873,0.835152,0.890016,0.862584,5.647438,5.644623,5.650579
before,"dh (head difference, m)",7,12873,0.890016,0.944880,0.917448,5.647415,5.644081,5.650699
before,"dh (head difference, m)",8,12873,0.944880,1.011936,0.975360,5.647100,5.643353,5.651009
before,"dh (head difference, m)",9,12873,1.011936,1.097280,1.051560,5.647312,5.642883,5.651719
before,"dh (head difference, m)",10,12877,1.097280,1.566672,1.161288,5.647334,5.642453,5.651986
after,a/dh (relative opening),1,13758,0.002421,0.214925,0.134151,5.865045,5.855996,5.873762
after,a/dh (relative opening),2,13758,0.214925,0.347222,0.289223,5.864760,5.858791,5.870840
after,a/dh (relative opening),3,13758,0.347222,0.457447,0.402778,5.865387,5.860846,5.869649
after,a/dh (relative opening),4,13758,0.457447,0.566406,0.510703,5.865057,5.861293,5.868824
after,a/dh (relative opening),5,13758,0.566434,0.702290,0.635088,5.865147,5.861976,5.868351
after,a/dh (relative opening),6,13758,0.702290,0.831541,0.766917,5.865052,5.862381,5.868181
after,a/dh (relative opening),7,13758,0.831541,0.981413,0.901163,5.865197,5.862471,5.867872
after,a/dh (relative opening),8,13758,0.981481,1.192000,1.075472,5.865107,5.862654,5.867610
after,a/dh (relative opening),9,13758,1.192000,1.517073,1.323009,5.865213,5.862975,5.867531
after,a/dh (relative opening),10,13766,1.517073,4.663265,1.845180,5.865225,5.863230,5.867077
after,"dh (head difference, m)",1,13758,0.298704,0.649224,0.600456,5.865124,5.863018,5.867171
after,"dh (head difference, m)",2,13758,0.649224,0.713232,0.682752,5.865290,5.862736,5.867625
after,"dh (head difference, m)",3,13758,0.713232,0.765048,0.740664,5.865110,5.862519,5.867704
after,"dh (head difference, m)",4,13758,0.765048,0.810768,0.789432,5.865159,5.862437,5.868251
after,"dh (head difference, m)",5,13758,0.810768,0.853440,0.832104,5.865061,5.862096,5.868157
after,"dh (head difference, m)",6,13758,0.853440,0.902208,0.877824,5.864988,5.861801,5.868317
after,"dh (head difference, m)",7,13758,0.902208,0.950976,0.926592,5.865064,5.861587,5.868570
after,"dh (head difference, m)",8,13758,0.950976,1.008888,0.978408,5.865207,5.861271,5.869121
after,"dh (head difference, m)",9,13758,1.008888,1.091184,1.045464,5.865387,5.860647,5.870210
after,"dh (head difference, m)",10,13766,1.091184,1.682496,1.164336,5.864860,5.859286,5.870784
