z0_ft,n,mean_squared_error_log,alpha,beta,gamma_m,free_fraction
1.56000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.56500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.57000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.57500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.58000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.58500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.59000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.59500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.60000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.60500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.61000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.61500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.62000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.62500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.63000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.63500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.64000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.64500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.65000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.65500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.66000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.66500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.67000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.67500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.68000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.68500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.69000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.69500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.70000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.70500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.71000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.71500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
