step_hundredths_ft,step_m,count
-310,-0.944880,1
-285,-0.868680,1
-211,-0.643128,1
-208,-0.633984,1
-206,-0.627888,2
-205,-0.624840,1
-202,-0.615696,1
-193,-0.588264,1
-182,-0.554736,1
-171,-0.521208,1
-170,-0.518160,1
-168,-0.512064,2
-164,-0.499872,1
-163,-0.496824,2
-162,-0.493776,1
-161,-0.490728,1
-160,-0.487680,1
-153,-0.466344,1
-152,-0.463296,1
-151,-0.460248,5
-150,-0.457200,2
-147,-0.448056,2
-146,-0.445008,1
-145,-0.441960,1
-144,-0.438912,1
-143,-0.435864,4
-142,-0.432816,2
-140,-0.426720,2
-138,-0.420624,3
-137,-0.417576,2
-135,-0.411480,1
-134,-0.408432,1
-133,-0.405384,1
-132,-0.402336,2
-131,-0.399288,2
-130,-0.396240,4
-129,-0.393192,3
-128,-0.390144,3
-127,-0.387096,4
-126,-0.384048,1
-125,-0.381000,2
-124,-0.377952,4
-123,-0.374904,1
-122,-0.371856,2
-121,-0.368808,1
-120,-0.365760,2
-119,-0.362712,2
-118,-0.359664,4
-117,-0.356616,3
-116,-0.353568,3
-115,-0.350520,1
-114,-0.347472,4
-113,-0.344424,5
-112,-0.341376,2
-111,-0.338328,8
-110,-0.335280,3
-109,-0.332232,2
-108,-0.329184,4
-107,-0.326136,3
-106,-0.323088,5
-105,-0.320040,5
-104,-0.316992,6
-103,-0.313944,6
-102,-0.310896,7
-101,-0.307848,13
-100,-0.304800,7
-99,-0.301752,5
-98,-0.298704,8
-97,-0.295656,11
-96,-0.292608,10
-95,-0.289560,5
-94,-0.286512,7
-93,-0.283464,10
-92,-0.280416,9
-91,-0.277368,7
-90,-0.274320,10
-89,-0.271272,7
-88,-0.268224,7
-87,-0.265176,7
-86,-0.262128,6
-85,-0.259080,11
-84,-0.256032,11
-83,-0.252984,12
-82,-0.249936,10
-81,-0.246888,17
-80,-0.243840,17
-79,-0.240792,16
-78,-0.237744,17
-77,-0.234696,17
-76,-0.231648,13
-75,-0.228600,13
-74,-0.225552,12
-73,-0.222504,14
-72,-0.219456,16
-71,-0.216408,25
-70,-0.213360,26
-69,-0.210312,23
-68,-0.207264,24
-67,-0.204216,12
-66,-0.201168,14
-65,-0.198120,18
-64,-0.195072,17
-63,-0.192024,12
-62,-0.188976,21
-61,-0.185928,33
-60,-0.182880,35
-59,-0.179832,28
-58,-0.176784,31
-57,-0.173736,14
-56,-0.170688,18
-55,-0.167640,21
-54,-0.164592,24
-53,-0.161544,32
-52,-0.158496,54
-51,-0.155448,66
-50,-0.152400,53
-49,-0.149352,56
-48,-0.146304,36
-47,-0.143256,29
-46,-0.140208,30
-45,-0.137160,33
-44,-0.134112,33
-43,-0.131064,35
-42,-0.128016,61
-41,-0.124968,54
-40,-0.121920,66
-39,-0.118872,58
-38,-0.115824,38
-37,-0.112776,31
-36,-0.109728,34
-35,-0.106680,27
-34,-0.103632,50
-33,-0.100584,51
-32,-0.097536,62
-31,-0.094488,74
-30,-0.091440,92
-29,-0.088392,73
-28,-0.085344,41
-27,-0.082296,33
-26,-0.079248,35
-25,-0.076200,34
-24,-0.073152,37
-23,-0.070104,31
-22,-0.067056,65
-21,-0.064008,54
-20,-0.060960,54
-19,-0.057912,40
-18,-0.054864,38
-17,-0.051816,19
-16,-0.048768,27
-15,-0.045720,22
-14,-0.042672,16
-13,-0.039624,23
-12,-0.036576,20
-11,-0.033528,16
-10,-0.030480,16
-9,-0.027432,15
-8,-0.024384,14
-7,-0.021336,21
-6,-0.018288,22
-5,-0.015240,45
-4,-0.012192,124
-3,-0.009144,332
-2,-0.006096,1334
-1,-0.003048,21349
0,0.000000,223637
1,0.003048,17791
2,0.006096,1965
3,0.009144,623
4,0.012192,170
5,0.015240,59
6,0.018288,38
7,0.021336,27
8,0.024384,27
9,0.027432,23
10,0.030480,21
11,0.033528,14
12,0.036576,14
13,0.039624,23
14,0.042672,26
15,0.045720,27
16,0.048768,34
17,0.051816,28
18,0.054864,40
19,0.057912,62
20,0.060960,83
21,0.064008,56
22,0.067056,49
23,0.070104,36
24,0.073152,43
25,0.076200,35
26,0.079248,52
27,0.082296,60
28,0.085344,56
29,0.088392,93
30,0.091440,95
31,0.094488,82
32,0.097536,68
33,0.100584,38
34,0.103632,28
35,0.106680,31
36,0.109728,29
37,0.112776,28
38,0.115824,41
39,0.118872,44
40,0.121920,49
41,0.124968,36
42,0.128016,46
43,0.131064,36
44,0.134112,26
45,0.137160,31
46,0.140208,37
47,0.143256,47
48,0.146304,44
49,0.149352,56
50,0.152400,87
51,0.155448,55
52,0.158496,64
53,0.161544,27
54,0.164592,26
55,0.167640,12
56,0.170688,12
57,0.173736,14
58,0.176784,15
59,0.179832,21
60,0.182880,27
61,0.185928,18
62,0.188976,25
63,0.192024,12
64,0.195072,12
65,0.198120,10
66,0.201168,11
67,0.204216,12
68,0.207264,14
69,0.210312,9
70,0.213360,20
71,0.216408,13
72,0.219456,10
73,0.222504,16
74,0.225552,9
75,0.228600,9
76,0.231648,5
77,0.234696,7
78,0.237744,11
79,0.240792,10
80,0.243840,12
81,0.246888,21
82,0.249936,19
83,0.252984,11
84,0.256032,9
85,0.259080,8
86,0.262128,8
87,0.265176,12
88,0.268224,4
89,0.271272,13
90,0.274320,10
91,0.277368,13
92,0.280416,4
93,0.283464,9
94,0.286512,8
95,0.289560,6
96,0.292608,9
97,0.295656,3
98,0.298704,10
99,0.301752,7
100,0.304800,14
101,0.307848,12
102,0.310896,13
103,0.313944,8
104,0.316992,9
105,0.320040,2
106,0.323088,4
107,0.326136,8
108,0.329184,1
109,0.332232,4
110,0.335280,7
111,0.338328,9
112,0.341376,5
113,0.344424,6
114,0.347472,2
115,0.350520,4
116,0.353568,2
117,0.356616,2
118,0.359664,1
119,0.362712,3
120,0.365760,5
121,0.368808,3
122,0.371856,1
123,0.374904,5
124,0.377952,4
125,0.381000,2
126,0.384048,1
127,0.387096,1
128,0.390144,1
129,0.393192,1
130,0.396240,1
131,0.399288,1
132,0.402336,1
133,0.405384,2
134,0.408432,2
135,0.411480,1
136,0.414528,2
137,0.417576,1
138,0.420624,4
139,0.423672,1
140,0.426720,3
141,0.429768,3
142,0.432816,2
143,0.435864,1
144,0.438912,1
146,0.445008,1
147,0.448056,1
149,0.454152,2
150,0.457200,2
151,0.460248,3
152,0.463296,6
153,0.466344,4
154,0.469392,3
157,0.478536,1
158,0.481584,4
159,0.484632,1
162,0.493776,1
164,0.499872,1
166,0.505968,1
167,0.509016,1
169,0.515112,1
171,0.521208,3
172,0.524256,2
174,0.530352,1
175,0.533400,3
177,0.539496,1
179,0.545592,1
181,0.551688,1
182,0.554736,2
183,0.557784,3
187,0.569976,1
193,0.588264,1
194,0.591312,1
209,0.637032,1
214,0.652272,1
226,0.688848,1
242,0.737616,1
243,0.740664,1
246,0.749808,1
249,0.758952,1
308,0.938784,1
