time_utc,rated,procedure,period,gate_opening_m,head_difference_m,q_measured_m3s,q_predicted_m3s,relative_residual
2018-01-10T18:15:00+00:00,Fair,Acoustic Doppler Current Profiler,before,0.457200,0.902208,10.675451,10.861341,0.017413
2018-02-14T18:24:39+00:00,Fair,Acoustic Doppler Current Profiler,before,0.530352,0.917448,12.912482,12.705122,-0.016059
2018-03-07T20:59:25+00:00,Fair,Acoustic Doppler Current Profiler,before,0.731520,0.835152,16.083969,16.719868,0.039536
2018-04-10T17:10:11+00:00,Fair,Acoustic Doppler Current Profiler,before,1.255776,0.603504,25.258627,24.399231,-0.034024
2018-06-12T15:50:04+00:00,Good,Acoustic Doppler Current Profiler,before,1.005840,0.515112,18.321000,18.055255,-0.014505
2018-08-13T16:59:00+00:00,Fair,Acoustic Doppler Current Profiler,before,0.755904,0.697992,15.347731,15.794859,0.029133
2018-10-11T17:39:47+00:00,Fair,Acoustic Doppler Current Profiler,before,0.621792,0.856488,14.271691,14.392282,0.008450
2018-11-08T16:30:27+00:00,Fair,Acoustic Doppler Current Profiler,before,0.557784,0.929640,13.337235,13.450776,0.008513
2019-01-29T17:57:10+00:00,Fair,Acoustic Doppler Current Profiler,before,0.530352,0.896112,12.147927,12.556519,0.033635
2019-04-04T17:19:08+00:00,Fair,Acoustic Doppler Current Profiler,before,1.075944,0.749808,22.936646,23.301753,0.015918
2019-05-29T15:08:30+00:00,Fair,Acoustic Doppler Current Profiler,before,0.954024,0.688848,19.680208,19.803634,0.006272
2019-07-08T15:07:03+00:00,Fair,Acoustic Doppler Current Profiler,before,0.737616,0.713232,14.979612,15.580078,0.040086
2019-08-01T14:08:40+00:00,Fair,Acoustic Doppler Current Profiler,before,0.704088,0.847344,16.027335,16.209914,0.011392
2019-10-07T16:37:53+00:00,Fair,Acoustic Doppler Current Profiler,before,0.585216,1.002792,14.300008,14.657014,0.024965
2019-12-11T15:27:52+00:00,Fair,Acoustic Doppler Current Profiler,before,0.207264,1.155192,5.748320,5.571535,-0.030754
2020-01-15T21:27:03+00:00,Good,Acoustic Doppler Current Profiler,before,0.597408,0.941832,13.960205,14.500455,0.038699
2020-02-13T17:57:57+00:00,Good,Acoustic Doppler Current Profiler,before,0.256032,1.048512,6.456241,6.556995,0.015606
2020-03-09T18:17:33+00:00,Fair,Acoustic Doppler Current Profiler,before,0.469392,1.075944,12.006343,12.177395,0.014247
2020-04-06T15:28:46+00:00,Good,Acoustic Doppler Current Profiler,before,0.704088,0.731520,14.781394,15.061351,0.018940
2020-05-04T15:38:11+00:00,Fair,Acoustic Doppler Current Profiler,before,1.213104,0.594360,23.248131,23.390888,0.006141
2020-06-15T14:04:57+00:00,Fair,Acoustic Doppler Current Profiler,before,0.972312,0.664464,19.850109,19.822812,-0.001375
2020-07-06T14:38:18+00:00,Good,Acoustic Doppler Current Profiler,before,1.072896,0.652272,21.322585,21.671845,0.016380
2020-09-15T14:38:00+00:00,Fair,Acoustic Doppler Current Profiler,before,0.902208,0.542544,16.706939,16.620651,-0.005165
2020-10-13T20:30:29+00:00,Fair,Acoustic Doppler Current Profiler,before,0.783336,0.841248,17.754663,17.969417,0.012096
2020-11-12T15:35:56+00:00,Fair,Acoustic Doppler Current Profiler,before,0.539496,0.905256,13.365552,12.838013,-0.039470
2020-12-08T19:24:42+00:00,Fair,Acoustic Doppler Current Profiler,before,0.579120,0.935736,14.101790,14.011000,-0.006438
2021-01-07T20:14:59+00:00,Good,Acoustic Doppler Current Profiler,before,0.673608,0.685800,14.186740,13.951788,-0.016561
2021-03-01T20:21:29+00:00,Fair,Acoustic Doppler Current Profiler,before,0.926592,0.633984,18.745752,18.452346,-0.015652
2021-04-01T15:38:29+00:00,Fair,Acoustic Doppler Current Profiler,before,0.850392,0.886968,20.473080,20.030742,-0.021606
2021-05-10T15:03:15+00:00,Fair,Acoustic Doppler Current Profiler,before,1.213104,0.539496,23.219814,22.285174,-0.040252
2021-06-07T17:19:21+00:00,Fair,Acoustic Doppler Current Profiler,before,1.213104,0.545592,23.106547,22.410726,-0.030114
2021-07-12T14:24:01+00:00,Fair,Acoustic Doppler Current Profiler,before,0.890016,0.673608,18.915654,18.269443,-0.034163
