date,n,complete,kappa_median_m,kappa_q25_m,kappa_q75_m
2018-01-01,96,1,5.491600,5.488459,5.493839
2018-01-02,96,1,5.484173,5.477938,5.487917
2018-01-03,96,1,5.482498,5.477996,5.487135
2018-01-04,96,1,5.484875,5.481152,5.489480
2018-01-05,96,1,5.483405,5.479189,5.485802
2018-01-06,96,1,5.483288,5.481208,5.485957
2018-01-07,96,1,5.483831,5.479034,5.488061
2018-01-08,96,1,5.482425,5.478950,5.488036
2018-01-09,96,1,5.483832,5.479940,5.487040
2018-01-10,96,1,5.485489,5.479855,5.640321
2018-01-11,96,1,5.647523,5.643605,5.651400
2018-01-12,96,1,5.647811,5.642445,5.651878
2018-01-13,96,1,5.647607,5.643049,5.651374
2018-01-14,96,1,5.647388,5.643203,5.651644
2018-01-15,96,1,5.648096,5.641066,5.652208
2018-01-16,96,1,5.646404,5.643071,5.650839
2018-01-17,96,1,5.647646,5.643684,5.651137
2018-01-18,96,1,5.646645,5.644048,5.650781
2018-01-19,96,1,5.646576,5.644682,5.651399
2018-01-20,96,1,5.648203,5.643367,5.653635
2018-01-21,96,1,5.643717,5.637167,5.651616
2018-01-22,96,1,5.645770,5.641708,5.651900
2018-01-23,96,1,5.647534,5.642407,5.650763
2018-01-24,96,1,5.647306,5.643613,5.653732
2018-01-25,96,1,5.647948,5.644073,5.651724
2018-01-26,96,1,5.647323,5.643222,5.649605
2018-01-27,96,1,5.648747,5.643460,5.651670
2018-01-28,57,0,5.645872,5.638981,5.653047
2018-01-29,59,0,5.644453,5.642051,5.649236
2018-01-30,96,1,5.647656,5.644027,5.650891
2018-01-31,96,1,5.648392,5.643007,5.652571
2018-02-01,96,1,5.648266,5.644648,5.651671
2018-02-02,96,1,5.647333,5.644909,5.650172
2018-02-03,96,1,5.648396,5.645209,5.649984
2018-02-04,96,1,5.645932,5.640761,5.650790
2018-02-05,96,1,5.647085,5.643440,5.650892
2018-02-06,96,1,5.647751,5.644573,5.650529
2018-02-07,96,1,5.647083,5.646045,5.649616
2018-02-08,96,1,5.646726,5.645492,5.650207
2018-02-09,96,1,5.648030,5.645365,5.649900
2018-02-10,96,1,5.647587,5.643107,5.651112
2018-02-11,96,1,5.646715,5.642307,5.654518
2018-02-12,96,1,5.646820,5.642453,5.653283
2018-02-13,96,1,5.645987,5.643003,5.649220
2018-02-14,96,1,5.648152,5.643554,5.651380
2018-02-15,96,1,5.644650,5.641696,5.649241
2018-02-16,96,1,5.640422,5.636108,5.644108
2018-02-17,96,1,5.638417,5.635614,5.642185
2018-02-18,96,1,5.618875,5.607211,5.626066
2018-02-19,96,1,5.621945,5.611699,5.634062
2018-02-20,96,1,5.667629,5.660136,5.681270
2018-02-21,96,1,5.660264,5.657221,5.665302
2018-02-22,96,1,5.654706,5.652018,5.657513
2018-02-23,96,1,5.653438,5.651200,5.655830
2018-02-24,96,1,5.649344,5.647003,5.652158
2018-02-25,96,1,5.646655,5.642147,5.650371
2018-02-26,96,1,5.641329,5.637599,5.646958
2018-02-27,96,1,5.640628,5.638740,5.643735
2018-02-28,96,1,5.638379,5.634500,5.642187
2018-03-01,96,1,5.632750,5.628534,5.637017
2018-03-02,96,1,5.634411,5.629841,5.661124
2018-03-03,96,1,5.665026,5.659238,5.668441
2018-03-04,96,1,5.670289,5.663559,5.674925
2018-03-05,96,1,5.656439,5.653375,5.668625
2018-03-06,96,1,5.650501,5.648039,5.653683
2018-03-07,96,1,5.647162,5.645209,5.651199
2018-03-08,96,1,5.648239,5.646213,5.650329
2018-03-09,96,1,5.648772,5.647481,5.649486
2018-03-10,96,1,5.647120,5.646305,5.648344
2018-03-11,96,1,5.646765,5.642843,5.650231
2018-03-12,96,1,5.646974,5.644777,5.649256
2018-03-13,96,1,5.647639,5.644865,5.648913
2018-03-14,96,1,5.647243,5.645000,5.649355
2018-03-15,96,1,5.647390,5.644768,5.649629
2018-03-16,96,1,5.647565,5.646080,5.649527
2018-03-17,96,1,5.648496,5.644826,5.650051
2018-03-18,96,1,5.647634,5.644646,5.651512
2018-03-19,96,1,5.646708,5.642685,5.650519
2018-03-20,96,1,5.647820,5.645153,5.649991
2018-03-21,96,1,5.647258,5.645105,5.649534
2018-03-22,96,1,5.646416,5.644976,5.648919
2018-03-23,96,1,5.646877,5.644731,5.648673
2018-03-24,96,1,5.646925,5.645182,5.649115
2018-03-25,96,1,5.646895,5.644623,5.650067
2018-03-26,96,1,5.646689,5.644158,5.650073
2018-03-27,96,1,5.646873,5.645016,5.649575
2018-03-28,96,1,5.646738,5.644836,5.648907
2018-03-29,96,1,5.646981,5.644827,5.649534
2018-03-30,96,1,5.647600,5.645252,5.649732
2018-03-31,96,1,5.647611,5.645855,5.649979
2018-04-01,96,1,5.647345,5.643536,5.650914
2018-04-02,96,1,5.647254,5.643881,5.650252
2018-04-03,96,1,5.647377,5.645960,5.649974
2018-04-04,96,1,5.647897,5.645869,5.649528
2018-04-05,96,1,5.647697,5.645786,5.648694
2018-04-06,96,1,5.647073,5.645579,5.649100
2018-04-07,96,1,5.647409,5.645545,5.649258
2018-04-08,96,1,5.646285,5.644653,5.649369
2018-04-09,96,1,5.647465,5.644943,5.649746
2018-04-10,95,0,5.647830,5.645432,5.648676
2018-04-11,96,1,5.647250,5.645717,5.648957
2018-04-12,96,1,5.647584,5.645560,5.649322
2018-04-13,96,1,5.647934,5.645770,5.649322
2018-04-14,96,1,5.646014,5.645387,5.648456
2018-04-15,96,1,5.647234,5.645528,5.648869
2018-04-16,96,1,5.647239,5.646375,5.648561
2018-04-17,96,1,5.646990,5.645566,5.648398
2018-04-18,96,1,5.646730,5.645551,5.648704
2018-04-19,96,1,5.647973,5.645956,5.649534
2018-04-20,96,1,5.646289,5.645413,5.649504
2018-04-21,96,1,5.647484,5.645350,5.648759
2018-04-22,96,1,5.647706,5.644726,5.649436
2018-04-23,96,1,5.647549,5.644722,5.650354
2018-04-24,96,1,5.647602,5.645699,5.649524
2018-04-25,96,1,5.648030,5.645456,5.648821
2018-04-26,96,1,5.647512,5.645692,5.648905
2018-04-27,96,1,5.647486,5.645906,5.649542
2018-04-28,96,1,5.646566,5.644656,5.647405
2018-04-29,96,1,5.646458,5.644352,5.649826
2018-04-30,96,1,5.648181,5.645180,5.649920
2018-05-01,96,1,5.648188,5.645415,5.650367
2018-05-02,96,1,5.647473,5.645369,5.649898
2018-05-03,96,1,5.646576,5.645217,5.648089
2018-05-04,96,1,5.646845,5.644962,5.648952
2018-05-05,96,1,5.647253,5.646106,5.649319
2018-05-06,96,1,5.647162,5.645196,5.650014
2018-05-07,96,1,5.646800,5.645621,5.648436
2018-05-08,96,1,5.646890,5.645822,5.647898
2018-05-09,95,0,5.646783,5.645760,5.648588
2018-05-10,96,1,5.648389,5.647447,5.649554
2018-05-11,96,1,5.647659,5.645323,5.648561
2018-05-12,96,1,5.647281,5.644528,5.649637
2018-05-13,96,1,5.646831,5.644547,5.649134
2018-05-14,96,1,5.647744,5.645233,5.649924
2018-05-15,96,1,5.647585,5.645807,5.649825
2018-05-16,96,1,5.647059,5.645978,5.649167
2018-05-17,96,1,5.646849,5.644884,5.648063
2018-05-18,96,1,5.647426,5.645581,5.648262
2018-05-19,96,1,5.647448,5.645909,5.649209
2018-05-20,96,1,5.647188,5.644489,5.649547
2018-05-21,96,1,5.646951,5.645048,5.649134
2018-05-22,96,1,5.647636,5.645436,5.650190
2018-05-23,96,1,5.647293,5.645413,5.648099
2018-05-24,96,1,5.646932,5.645438,5.649263
2018-05-25,96,1,5.647036,5.644755,5.649392
2018-05-26,96,1,5.647857,5.645248,5.649167
2018-05-27,96,1,5.648807,5.645179,5.650399
