fold,a_s_m2
2018,517330.578240
2018,-974213.793504
2018,179000.212407
2018,444868.939482
2018,361769.243090
2018,435669.460327
2018,138269.169447
2018,286425.878760
2018,443670.080400
2018,291874.458695
2018,231811.372800
2018,559941.984000
2018,1356239.698938
2018,472144.592093
2018,73556.609643
2018,1274024.758772
2018,140906.801184
2018,485126.266194
2018,112877.193600
2018,596310.830836
2018,545696.062306
2018,134301.954168
2018,1542236.915520
2018,242689.960479
2018,765211.372800
2018,266643.812556
2018,242271.329311
2018,231813.961888
2018,438966.864000
2018,397714.556299
2018,300361.573381
2018,593967.577357
2018,372974.530083
2018,-47089.172684
2018,212167.317600
2018,315570.648774
2018,182527.949306
2018,1424761.021440
2018,600896.862720
2018,138526.428393
2018,79855.240577
2018,408765.943757
2018,370870.722277
2018,752331.530418
2018,467471.205818
2018,504811.893600
2018,624728.338236
2018,184886.891024
2018,539302.147200
2018,492474.067541
2018,-1290180.869843
2018,670619.674408
2018,309185.356383
2018,99807.202762
2018,274755.784083
2018,793748.302027
2018,486690.441009
2018,221327.830588
2018,457779.729600
2018,231092.473031
2018,237460.170240
2018,360414.898863
2018,222267.124308
2018,614879.979016
2018,68638.455098
2018,1300089.095081
2018,243067.141948
2018,152716.203106
2018,325429.569853
2018,294639.879927
2018,566211.689134
2018,224874.253137
2018,273413.646720
2018,491725.322772
2018,233550.709881
2018,309742.910778
2018,956441.263292
2018,359210.912654
2018,797163.825024
2018,1131208.134423
2018,296825.212800
2018,396555.403832
2018,620957.361498
2018,732986.280290
2018,460239.873563
2018,719097.033789
2018,197503.047423
2018,263098.729385
2018,162566.542007
2018,172761.711327
2018,254207.676466
2018,1007628.483273
2018,447983.480666
2018,534137.831153
2018,440928.727079
2018,420320.483936
2018,401206.273548
2018,868501.382162
2018,314923.324366
2018,184193.939012
2018,67080.727206
2018,295529.804214
2018,596496.816613
2018,-909742.921043
2018,213711.084859
2018,645769.031040
2018,645584.025848
2018,297471.703027
2018,343907.832761
2018,602847.826560
2018,652800.227453
2018,-251392.268299
2018,307984.815871
2018,223450.771004
2018,680071.051988
2018,1730783.635200
2018,501435.225415
2018,82591.395378
2018,241431.775200
2018,444952.775782
2018,242279.565281
2018,746243.668800
2018,409702.406400
2018,320810.635728
2018,686854.034259
2018,512128.008000
2018,430038.724393
2018,-1370340.036313
2018,-117789.441840
2018,17331.377802
2018,243037.751532
2018,349734.255580
2018,228195.751438
2018,200094.436240
2018,530060.739537
2018,382802.753455
2018,-955693.572480
2018,287386.118775
2018,423004.432582
2018,316934.075808
2018,-118558.571815
2018,462324.733828
2018,282584.918700
2018,126607.284985
2018,550779.178415
2018,476259.624127
2018,-319053.964566
2018,-350329.324154
2018,439717.234708
2018,234647.741847
2018,286831.772778
2018,734885.784906
2018,342394.153920
2018,204576.419561
2018,-203656.735543
2018,-525381.283301
2018,411319.227262
2018,1225116.611345
2018,79052.041309
2018,37922.581150
2018,437160.416000
2018,1131091.330389
2018,470608.130339
2018,696549.306838
2018,307013.950390
2018,267585.788953
2018,177021.277835
2018,404049.045273
2018,-1385016.139862
2018,391525.724661
2018,61167.513836
2018,90453.778036
2018,276430.484627
2018,82440.118361
2018,466052.053481
2018,592846.456985
2018,455988.028114
2018,-442443.829259
