Controller,Quantity,Median,95% interval or note,In level error
PI,"δ, headline",-1.658%,"[-1.756%, -1.553%]",-0.0719 mm
PI,"δ, mirror (identified model on synthetic plant)",+1.729%,"[+1.623%, +1.841%]",—
PI,"δ over the 95% region of (α, β)",-2.001% to -1.300%,four corners,—
PI,δ over pool lengths 2–7 km,-1.658% to +0.229%,sign not stable,—
PI,δ with an 11.5 mm minimum gate movement,-1.757%,"[-2.053%, -1.113%]",—
MPC,"δ, headline",-0.482%,"[-0.484%, -0.480%]",-0.0682 mm
MPC,"δ, mirror (identified model on synthetic plant)",+0.487%,"[+0.485%, +0.489%]",—
MPC,"δ over the 95% region of (α, β)",-0.589% to -0.376%,four corners,—
MPC,δ over pool lengths 2–7 km,-1.457% to -0.482%,sign stable,—
MPC,δ with an 11.5 mm minimum gate movement,-0.480%,"[-0.493%, -0.472%]",—
