Manuscript section,Item,Built from
Section 2.1,Table 1,"time_series_metadata.csv, coverage_census.csv, archive_diagnostics.json"
Section 2.3,Table 2,coverage_census.csv
Section 2.4,Table 3,"archive_diagnostics.json, gate_law.json, grid_diagnostics.csv, coverage_census.csv, gaugings.csv"
Section 3.4,Table 4,"control_comparison.json, model_error_envelope.json"
Section 4.3,Table 5,"gate_law.json, archive_diagnostics.json"
Section 4.2,Table 6,gate_law_validation.json
Section 4.4,Table 7,control_comparison.json
Section 4.5,Table 8,control_comparison.json
Section 4.1,Fig. 1,"archive_diagnostics.json, kappa_daily.csv"
Section 4.2,Fig. 2,"gate_law_validation.json, gauging_residual_bins.csv, gauging_residuals.csv"
Section 4.3,Fig. 3,"archive_diagnostics.json, storage_estimates.csv"
Section 2.3,Fig. 4,coverage_census.csv
Section 4.4,Fig. 5,model_error_envelope.json
Section 4.4,Fig. 6,control_comparison.json
Section 2.2,Fig. 7,"archive_diagnostics.json, gate_step_histogram.csv"
Section 2.4,Fig. 8,grid_diagnostics.csv
Section 4.1,Fig. 9,"discharge_coefficient.json, discharge_coefficient_bins.csv"
Section 2.1,Fig. 10,"drawn by scripts/make_figures.py, no data"
